,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
101,facs,18m,24m,male,Spink5,2.3856844902038574,1.2266084922885057e-05,2.9263012038427405e-05,0.0002845916023943573,5.9109917723376235e-09
102,facs,18m,24m,male,Peg3,2.3797848224639893,1.243684528162703e-05,2.9597018510685302e-05,0.0003221058286726475,2.286462517427473e-09
103,facs,18m,24m,male,Enpp2,2.372934103012085,6.295498315012082e-05,2.6530437025940046e-05,0.000576172664295882,3.7204579335497134e-08
104,facs,18m,24m,male,Cd4,2.365065813064575,2.7659616534947418e-05,1.1695071407302748e-05,0.0002308671537321061,2.3310653595233987e-07
105,facs,18m,24m,male,Alb,2.357879877090454,0.00015427841572090983,0.0003637699701357633,0.00353314820677042,4.322093082127226e-16
106,facs,18m,24m,male,Satb1,2.3483564853668213,6.499378650914878e-05,2.7676285753841512e-05,0.0003517425211612135,5.1394978392889473e-26
107,facs,18m,24m,male,Jag1,2.347879648208618,5.6851386034395546e-05,2.421392491669394e-05,0.00034702348057180643,1.2947216626821914e-20
108,facs,18m,24m,male,Ttyh2,2.3448662757873535,4.9661710363579914e-05,2.1178906536079012e-05,0.00023999898985493928,6.960000624295489e-29
109,facs,18m,24m,male,4921513D23Rik,2.339355230331421,0.00015898467972874641,6.796090019633994e-05,0.001108322641812265,1.0852135675164775e-17
110,facs,18m,24m,male,Ramp3,2.324860095977783,1.6749285350670107e-05,3.8939750083955005e-05,0.0004306651244405657,1.3075621666608065e-08
111,facs,18m,24m,male,Slc2a1,2.3167760372161865,0.00020542845595628023,8.866996358847246e-05,0.0008305482333526015,1.181397317281533e-53
112,facs,18m,24m,male,Rab38,2.3151707649230957,1.1633404028543737e-05,2.6933319531963207e-05,0.000306494563119486,1.206493463017975e-07
113,facs,18m,24m,male,Mmp8,2.3134543895721436,0.0001593307388247922,6.887135532451794e-05,0.0009756340878084302,2.852372596593537e-20
114,facs,18m,24m,male,Apob,2.3069264888763428,9.601066267350689e-06,2.2148957214085385e-05,0.00023316260194405913,1.9653131359538556e-06
115,facs,18m,24m,male,Ppp1r16b,2.2876265048980713,0.00014066508447285742,6.148953252704814e-05,0.0004471871361602098,3.8198744709500493e-78
116,facs,18m,24m,male,F2,2.2627806663513184,1.6314848835463636e-05,3.691692836582661e-05,0.0003896410344168544,6.130757755394143e-07
117,facs,18m,24m,male,Myzap,2.2602787017822266,3.414833918213844e-05,1.5108020306797698e-05,0.00020313196000643075,3.4350668079579596e-15
118,facs,18m,24m,male,Mal,2.2405686378479004,0.00010814004781423137,4.826455551665276e-05,0.0007570692105218768,9.041169990198586e-14
119,facs,18m,24m,male,Aplp1,2.234510898590088,0.00010295723768649623,4.607596201822162e-05,0.0008958372054621577,8.725501368632528e-08
120,facs,18m,24m,male,Il6,2.228041887283325,3.9834569179220125e-05,8.875308412825689e-05,0.0008537272224202752,7.346957577842633e-12
