,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
4458,droplet,3m,24m,male,Bladder,nan,Tpcn1,2.314431667327881,2.7088581191492267e-05,1.170420364360325e-05,6.887197378091514e-05,2.773204518599844e-09
4459,droplet,3m,24m,male,Kidney,nan,Fam82a2,2.3137800693511963,3.772557101910934e-05,1.6304733435390517e-05,9.093935659620911e-05,2.737315064152531e-08
4460,droplet,3m,24m,male,Kidney,nan,Clec4a2,2.312838315963745,2.0471752577577718e-05,4.734785761684179e-05,0.00017449681763537228,1.192561021359552e-07
4461,droplet,3m,24m,male,Kidney,nan,Gimap8,2.3125948905944824,1.753026299411431e-05,4.054039891343564e-05,0.00010702860890887678,7.66485993986471e-12
4462,droplet,3m,24m,male,Kidney,nan,Eny2,2.312462091445923,0.00018701031513046473,8.087065361905843e-05,0.00021353591000661254,1.1233793640505146e-54
4463,droplet,3m,24m,male,Kidney,nan,Xpnpep1,2.3123586177825928,5.9269041230436414e-05,2.563141970313154e-05,0.00011350010754540563,5.650102412824261e-16
4464,droplet,3m,24m,male,Spleen,nan,Stmn1,2.312164306640625,5.761167994933203e-05,0.00013320766447577626,0.0004065899411216378,4.222431476349329e-17
4465,droplet,3m,24m,male,Spleen,nan,Atpif1,2.3119735717773438,0.00013378214498516172,0.0003093007835559547,0.0005670685204677284,7.991237250936191e-63
4466,droplet,3m,24m,male,Kidney,nan,Sar1b,2.3111212253570557,0.00013573453179560602,5.8731027820613235e-05,0.0001624374999664724,5.788160606157699e-48
4467,droplet,3m,24m,male,Kidney,nan,Osbpl2,2.310134172439575,3.0293544114101678e-05,1.311332562181633e-05,7.541342347394675e-05,6.920037953432859e-07
4468,droplet,3m,24m,male,Kidney,nan,Mfsd10,2.3101141452789307,2.0049110389663838e-05,4.6315737563418224e-05,0.00011158929555676877,5.219448303727822e-19
4469,droplet,3m,24m,male,Kidney,nan,Cmtm6,2.309682846069336,0.000130849119159393,5.6652417697478086e-05,0.00018368671589996666,9.976139877145413e-35
4470,droplet,3m,24m,male,Spleen,nan,Hes1,2.3063578605651855,5.030301326769404e-05,2.1810583348269574e-05,0.0001423303474439308,1.9579853821877177e-12
4471,droplet,3m,24m,male,Tongue,nan,Rbm47,2.304259777069092,6.676613338640891e-06,1.5384654034278356e-05,4.668340625357814e-05,2.731330246517094e-07
4472,droplet,3m,24m,male,Bladder,nan,Tubb6,2.3041038513183594,0.0002522460126783699,0.00010947684495477006,0.00032056632335297763,5.472831148713958e-57
4473,droplet,3m,24m,male,Kidney,nan,Sigirr,2.303992986679077,6.054545156075619e-05,2.6278485165676102e-05,0.0001218559336848557,4.453867361664479e-14
4474,droplet,3m,24m,male,Kidney,nan,Cyb5r3,2.303715229034424,0.00012924277689307928,5.610188964055851e-05,0.00019354741380084306,2.1608191123067095e-30
4475,droplet,3m,24m,male,Kidney,nan,Pycard,2.3035850524902344,7.229152106447145e-05,0.00016652967315167189,0.0002662714396137744,4.213382169006458e-53
4476,droplet,3m,24m,male,Bladder,nan,Glt8d1,2.302131175994873,2.9193972295615822e-05,1.268128016818082e-05,6.668118294328451e-05,7.2394598524009295e-12
4477,droplet,3m,24m,male,Tongue,nan,Tnfaip3,2.302075147628784,2.5647816073615104e-05,5.904320642002858e-05,0.00012732383038382977,1.1108390066409791e-45
4478,droplet,3m,24m,male,Bladder,nan,Fut11,2.299492597579956,1.85677799890982e-05,8.074728611973114e-06,4.9950031097978354e-05,8.600898889144914e-06
