,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1529,facs,3m,18m,male,Thbs1,-1.0337543487548828,8.051680924836546e-05,3.932742401957512e-05,0.0004161309916526079,2.4661673448183647e-29
1530,facs,3m,18m,male,Gdf10,-1.0337157249450684,7.910183921921998e-05,3.8637332181679085e-05,0.00044004307710565627,1.0432069325547153e-23
1531,facs,3m,18m,male,Pik3ap1,-1.0333703756332397,2.4059167117229663e-05,1.1754525985452347e-05,0.0001160737156169489,2.867094987196022e-12
1532,facs,3m,18m,female,Stk24,1.0333689451217651,2.8340809876681305e-05,5.800792496302165e-05,0.0001699191052466631,1.9576990485975843e-63
1533,facs,3m,18m,male,Cxadr,-1.0333147048950195,2.5663222913863137e-05,1.2538698683783878e-05,0.0001004114601528272,4.671765866795867e-18
1534,facs,3m,18m,male,Ado,-1.0330429077148438,0.00010247148020425811,5.007559229852632e-05,0.0003203046799171716,9.673882330593537e-73
1535,facs,3m,18m,male,Pdgfra,-1.0329136848449707,4.991625974071212e-05,2.4395178115810268e-05,0.0001989361917367205,6.29502555480096e-37
1536,facs,3m,18m,male,Jund,1.032791018486023,0.00025969318812713027,0.0005313266883604228,0.0010126447305083275,3.230097217299989e-210
1537,facs,3m,18m,male,Arhgef10l,-1.0326427221298218,1.843462450779043e-05,9.011100701172836e-06,0.0001098814609576948,1.1362339102345659e-06
1538,facs,3m,18m,male,Ddr2,-1.0326416492462158,4.834628998651169e-05,2.3632353986613452e-05,0.0001703082671156153,2.838905427656634e-38
1539,facs,3m,18m,male,BC028528,1.032304286956787,3.694405677379109e-05,7.556124910479411e-05,0.0002780311042442918,2.4527921383180726e-41
1540,facs,3m,18m,male,Ap4b1,-1.0322657823562622,1.711372533463873e-05,8.36761319078505e-06,0.00010472290887264535,6.490913247404051e-06
1541,facs,3m,18m,female,S100a9,1.03225576877594,0.0006164317601360381,0.0012607383541762829,0.006827464792877436,4.039739137714142e-19
1542,facs,3m,18m,male,Mpp5,-1.0321625471115112,2.8216572900419123e-05,1.3797245628666133e-05,0.00010455956362420693,1.1724807127888188e-17
1543,facs,3m,18m,female,Lag3,1.0317538976669312,7.403298513963819e-05,0.00015136104775592685,0.0005201887106522918,1.3109272797517594e-62
1544,facs,3m,18m,male,Ythdf3,-1.0315176248550415,3.234916221117601e-05,1.5825055015739053e-05,0.00012207469262648374,3.1892714933711664e-23
1545,facs,3m,18m,female,Aldh1b1,-1.0309078693389893,5.133798913448118e-05,2.5124916646745987e-05,0.000260228494880721,2.5138324110071133e-22
1546,facs,3m,18m,male,Afg3l2,-1.0306742191314697,3.710275632329285e-05,1.8161104890168644e-05,0.00012434078962542117,2.9810922322520256e-30
